BUSINESSPARTNER,VAT,ACCOUNT,BP_ACCOUNT
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
28,2,7,24
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,6,12
24,0,15,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,6,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
24,0,0,12
28,0,7,24
28,0,7,24
28,0,7,24
28,0,7,24
28,0,7,24
28,0,7,24
28,0,7,24
28,0,7,24
28,0,7,24
28,0,7,24
28,0,7,24
28,0,7,24
28,0,7,24
28,0,7,24
28,0,7,24
28,0,7,24
24,0,0,12
