,households_tVar,median_house_value_tVar,values
0,0,0,1.0
1,0,73,0.3333333333333333
2,0,308,1.0
3,0,1097,1.0
4,0,1120,0.25
5,0,1688,1.0
6,1,1,1.0
7,1,36,0.3333333333333333
8,1,149,0.5
9,1,251,0.5
10,1,570,0.16666666666666666
11,1,643,0.5
12,2,2,1.0
13,2,595,0.3333333333333333
14,2,1246,0.5
15,3,3,1.0
16,4,4,1.0
17,4,1265,1.0
18,4,1486,1.0
19,5,5,0.3333333333333333
20,5,442,1.0
21,5,852,1.0
22,5,1261,1.0
23,5,1293,0.5
24,6,5,0.3333333333333333
25,6,167,0.3333333333333333
26,6,493,0.5
27,6,1694,1.0
28,7,6,1.0
29,7,41,0.008
30,7,799,0.3333333333333333
31,7,1032,1.0
32,8,7,0.3333333333333333
33,8,85,0.25
34,9,8,0.5
35,9,16,0.043478260869565216
36,9,915,0.09090909090909091
37,10,9,0.125
38,10,25,0.14285714285714285
39,10,41,0.008
40,10,185,0.5
41,10,362,0.25
42,10,474,1.0
43,10,1439,0.5
44,11,10,0.5
45,11,134,0.1111111111111111
46,12,11,0.5
47,12,366,0.5
48,12,1312,1.0
49,13,12,0.5
50,13,121,0.2
51,13,211,0.5
52,14,13,1.0
53,14,195,0.2
54,14,423,0.16666666666666666
55,14,484,1.0
56,14,636,0.5
57,14,826,0.3333333333333333
58,14,1466,0.5
59,14,1532,0.5
60,15,14,1.0
61,15,52,0.07692307692307693
62,15,690,0.5
63,15,1414,1.0
64,15,1561,1.0
65,16,15,0.4
66,17,16,0.043478260869565216
67,17,688,0.5
68,18,17,0.5
69,18,96,0.2
70,18,139,0.08333333333333333
71,18,232,0.25
72,18,294,1.0
73,18,665,0.5
74,18,917,1.0
75,18,1174,1.0
76,19,18,0.5
77,20,19,0.5
78,20,907,0.5
79,20,936,1.0
80,20,1054,1.0
81,21,20,1.0
82,21,27,0.07142857142857142
83,21,1249,1.0
84,21,1335,1.0
85,22,21,1.0
86,22,41,0.008
87,22,969,0.3333333333333333
88,23,22,0.3333333333333333
89,23,41,0.008
90,23,1275,0.3333333333333333
91,23,1588,1.0
92,24,23,0.5
93,25,24,1.0
94,25,886,0.25
95,25,1099,0.3333333333333333
96,25,1402,1.0
97,26,25,0.14285714285714285
98,26,191,1.0
99,26,941,0.5
100,27,26,1.0
101,27,455,1.0
102,27,1302,1.0
103,27,1319,1.0
104,27,1530,1.0
105,28,27,0.07142857142857142
106,29,28,0.3333333333333333
107,29,599,1.0
108,29,1163,1.0
109,30,16,0.043478260869565216
110,30,29,0.5
111,30,54,0.5
112,30,216,0.5
113,30,276,0.2
114,30,321,0.5
115,30,571,1.0
116,30,970,0.3333333333333333
117,30,1363,1.0
118,31,30,0.5
119,31,205,0.25
120,31,517,1.0
121,31,631,1.0
122,31,1066,0.2
123,31,1333,1.0
124,32,31,1.0
125,32,826,0.3333333333333333
126,32,1512,1.0
127,33,32,0.5
128,34,33,0.5
129,34,42,1.0
130,34,347,0.5
131,34,742,0.25
132,34,1194,0.5
133,35,34,1.0
134,35,549,0.3333333333333333
135,36,35,0.3333333333333333
136,36,219,1.0
137,36,837,0.3333333333333333
138,36,1234,0.5
139,36,1297,1.0
140,36,1404,1.0
141,37,37,1.0
142,37,41,0.008
143,37,324,0.25
144,37,382,1.0
145,37,468,0.3333333333333333
146,37,549,0.3333333333333333
147,38,38,1.0
148,38,563,1.0
149,39,39,0.3333333333333333
150,39,40,0.09090909090909091
151,39,62,1.0
152,39,91,0.5
153,39,174,0.2
154,39,432,0.3333333333333333
155,39,1039,0.5
156,39,1376,1.0
157,39,1493,1.0
158,39,1609,0.5
159,39,1662,1.0
160,40,40,0.09090909090909091
161,40,327,1.0
162,40,535,0.09090909090909091
163,40,596,0.5
164,40,677,1.0
165,40,713,0.5
166,40,944,1.0
167,40,1176,1.0
168,40,1388,1.0
169,40,1557,0.5
170,40,1616,0.5
171,41,41,0.008
172,41,77,0.3333333333333333
173,41,207,0.5
174,41,678,1.0
175,41,1284,1.0
176,41,1378,1.0
177,42,16,0.043478260869565216
178,42,43,0.5
179,42,106,1.0
180,42,243,0.5
181,42,604,0.5
182,42,1214,1.0
183,42,1728,1.0
184,43,44,0.25
185,44,41,0.008
186,44,45,0.25
187,44,213,0.5
188,44,379,0.3333333333333333
189,44,674,0.5
190,44,735,0.5
191,44,1023,0.5
192,45,46,0.3333333333333333
193,45,535,0.09090909090909091
194,45,673,0.3333333333333333
195,45,756,1.0
196,45,946,1.0
197,45,1368,1.0
198,46,47,0.3333333333333333
199,46,244,0.5
200,46,598,0.5
201,46,635,0.5
202,46,807,0.3333333333333333
203,47,48,0.16666666666666666
204,48,49,1.0
205,49,50,0.3333333333333333
206,50,41,0.008
207,50,51,0.2
208,50,97,1.0
209,50,364,0.25
210,50,554,0.3333333333333333
211,50,1042,1.0
212,50,1197,0.3333333333333333
213,50,1434,0.5
214,50,1579,0.5
215,50,1780,1.0
216,51,52,0.07692307692307693
217,51,115,0.2
218,51,117,1.0
219,51,210,0.5
220,51,251,0.5
221,51,324,0.25
222,51,487,0.3333333333333333
223,51,845,0.5
224,51,1434,0.5
225,51,1653,1.0
226,52,41,0.008
227,52,53,1.0
228,52,83,0.5
229,52,175,0.3333333333333333
230,52,204,0.5
231,52,286,0.3333333333333333
232,52,340,0.047619047619047616
233,52,709,1.0
234,52,1053,0.5
235,52,1317,1.0
236,52,1770,1.0
237,53,55,0.5
238,53,1283,1.0
239,53,1640,1.0
240,54,8,0.5
241,54,56,0.3333333333333333
242,54,463,0.5
243,54,576,1.0
244,54,807,0.3333333333333333
245,55,16,0.043478260869565216
246,55,50,0.3333333333333333
247,55,57,0.3333333333333333
248,55,606,1.0
249,55,1112,1.0
250,55,1325,1.0
251,56,58,0.5
252,56,108,0.25
253,56,1618,1.0
254,57,25,0.14285714285714285
255,57,59,1.0
256,57,816,1.0
257,58,60,0.5
258,58,363,0.5
259,58,441,1.0
260,58,567,0.5
261,58,1165,1.0
262,58,1768,1.0
263,59,61,1.0
264,59,956,0.5
265,59,1206,1.0
266,60,45,0.25
267,60,63,0.5
268,60,193,0.058823529411764705
269,60,195,0.2
270,61,64,1.0
271,61,605,1.0
272,62,65,0.5
273,63,41,0.008
274,63,66,0.5
275,63,211,0.5
276,63,394,1.0
277,63,746,0.25
278,63,1183,1.0
279,63,1542,0.5
280,63,1623,1.0
281,63,1778,1.0
282,64,67,0.3333333333333333
283,64,607,1.0
284,65,68,0.3333333333333333
285,65,154,0.5
286,65,841,1.0
287,66,69,1.0
288,66,311,1.0
289,66,708,0.25
290,66,742,0.25
291,66,1273,1.0
292,67,9,0.125
293,67,161,0.25
294,68,70,1.0
295,68,832,0.5
296,68,1121,1.0
297,69,41,0.008
298,69,71,0.25
299,69,201,0.5
300,69,234,1.0
301,69,403,1.0
302,69,1263,0.3333333333333333
303,69,1280,1.0
304,69,1601,1.0
305,70,72,0.5
306,70,340,0.047619047619047616
307,70,552,0.5
308,70,868,1.0
309,71,74,1.0
310,71,538,0.5
311,71,1124,1.0
312,71,1468,1.0
313,72,75,1.0
314,72,187,0.3333333333333333
315,72,1033,1.0
316,73,76,0.5
317,73,718,1.0
318,74,16,0.043478260869565216
319,74,364,0.25
320,75,41,0.008
321,75,45,0.25
322,75,180,0.3333333333333333
323,75,317,0.3333333333333333
324,75,528,0.25
325,75,627,0.5
326,75,899,1.0
327,75,971,0.5
328,75,1104,0.3333333333333333
329,75,1169,1.0
330,75,1362,1.0
331,75,1726,1.0
332,76,41,0.008
333,76,77,0.3333333333333333
334,76,248,0.3333333333333333
335,76,1062,0.16666666666666666
336,76,1087,1.0
337,76,1313,0.5
338,77,19,0.5
339,78,78,0.3333333333333333
340,78,526,0.3333333333333333
341,78,689,1.0
342,78,820,1.0
343,78,935,0.25
344,78,1257,0.5
345,78,1531,1.0
346,79,79,0.3333333333333333
347,79,1251,1.0
348,80,80,0.2
349,80,402,1.0
350,81,81,0.5
351,81,623,1.0
352,81,764,0.5
353,81,1138,0.5
354,81,1223,0.3333333333333333
355,81,1346,1.0
356,81,1500,1.0
357,81,1649,1.0
358,82,82,0.5
359,82,683,0.5
360,82,1013,1.0
361,82,1342,1.0
362,83,40,0.09090909090909091
363,83,52,0.07692307692307693
364,83,84,0.5
365,83,89,0.5
366,84,85,0.25
367,84,594,0.07692307692307693
368,84,1088,1.0
369,84,1208,0.5
370,84,1573,1.0
371,85,80,0.2
372,85,86,1.0
373,85,297,0.5
374,85,435,1.0
375,85,583,0.3333333333333333
376,85,622,1.0
377,85,914,0.2
378,85,1212,0.3333333333333333
379,85,1349,1.0
380,85,1611,1.0
381,86,16,0.043478260869565216
382,86,87,0.5
383,86,659,1.0
384,86,1207,1.0
385,87,41,0.008
386,87,88,0.5
387,87,643,0.5
388,87,1357,1.0
389,88,36,0.3333333333333333
390,88,90,0.14285714285714285
391,88,271,0.25
392,88,797,0.3333333333333333
393,88,840,1.0
394,89,92,0.25
395,89,115,0.2
396,89,1024,0.5
397,89,1298,0.3333333333333333
398,90,93,0.125
399,90,482,0.5
400,90,1150,1.0
401,90,1632,1.0
402,90,1730,1.0
403,91,94,1.0
404,91,283,0.3333333333333333
405,91,649,1.0
406,92,95,0.5
407,93,78,0.3333333333333333
408,93,96,0.2
409,93,121,0.2
410,93,168,0.5
411,93,803,0.5
412,93,867,0.5
413,93,877,1.0
414,93,979,0.5
415,93,981,0.5
416,93,1340,0.5
417,93,1685,1.0
418,94,40,0.09090909090909091
419,95,98,0.5
420,95,173,0.5
421,95,732,0.5
422,95,860,0.5
423,96,99,0.5
424,96,1050,0.5
425,97,41,0.008
426,97,100,0.3333333333333333
427,97,153,0.3333333333333333
428,97,181,0.3333333333333333
429,97,1475,1.0
430,97,1490,1.0
431,97,1619,1.0
432,98,101,0.25
433,98,120,0.5
434,98,355,0.5
435,98,666,1.0
436,98,703,1.0
437,98,1113,1.0
438,98,1120,0.25
439,98,1125,1.0
440,99,41,0.008
441,99,102,1.0
442,99,127,0.25
443,99,291,1.0
444,99,702,0.5
445,99,853,1.0
446,99,938,1.0
447,99,1099,0.3333333333333333
448,99,1179,1.0
449,99,1276,1.0
450,100,96,0.2
451,100,103,1.0
452,100,249,0.125
453,100,353,1.0
454,100,399,1.0
455,100,405,1.0
456,100,499,0.5
457,100,797,0.3333333333333333
458,100,822,0.5
459,100,1106,1.0
460,100,1275,0.3333333333333333
461,100,1734,1.0
462,101,104,1.0
463,101,347,0.5
464,101,524,1.0
465,101,548,0.5
466,101,670,1.0
467,101,934,1.0
468,102,52,0.07692307692307693
469,102,105,1.0
470,102,212,0.07692307692307693
471,102,839,0.5
472,102,965,0.5
473,102,1039,0.5
474,102,1107,0.5
475,102,1607,1.0
476,103,9,0.125
477,103,41,0.008
478,103,721,1.0
479,103,962,1.0
480,103,1344,1.0
481,104,107,1.0
482,104,1003,0.3333333333333333
483,105,41,0.008
484,105,189,1.0
485,105,250,0.3333333333333333
486,105,715,1.0
487,105,857,0.5
488,105,1063,1.0
489,105,1290,1.0
490,106,41,0.008
491,106,646,1.0
492,106,821,0.25
493,106,947,0.5
494,106,977,1.0
495,106,1461,1.0
496,107,109,0.3333333333333333
497,107,212,0.07692307692307693
498,108,101,0.25
499,108,110,1.0
500,108,1099,0.3333333333333333
501,109,111,0.5
502,110,112,0.5
503,111,113,1.0
504,111,765,0.5
505,112,46,0.3333333333333333
506,112,51,0.2
507,112,114,1.0
508,112,433,0.3333333333333333
509,112,497,0.2
510,112,566,1.0
511,112,792,1.0
512,112,1589,1.0
513,113,16,0.043478260869565216
514,113,41,0.008
515,113,115,0.2
516,113,1188,1.0
517,113,1763,1.0
518,113,1773,1.0
519,114,16,0.043478260869565216
520,114,41,0.008
521,114,116,1.0
522,114,131,1.0
523,114,321,0.5
524,115,23,0.5
525,115,88,0.5
526,115,118,0.5
527,115,295,0.3333333333333333
528,115,1321,1.0
529,116,119,1.0
530,116,1002,1.0
531,117,120,0.5
532,117,1241,1.0
533,117,1439,0.5
534,118,41,0.008
535,118,121,0.2
536,118,583,0.3333333333333333
537,118,828,0.25
538,118,902,0.25
539,118,974,0.3333333333333333
540,118,1350,0.2
541,118,1470,1.0
542,119,33,0.5
543,119,122,0.3333333333333333
544,119,520,0.5
545,119,1011,1.0
546,120,41,0.008
547,120,48,0.16666666666666666
548,120,340,0.047619047619047616
549,120,426,0.5
550,120,1062,0.16666666666666666
551,120,1218,0.5
552,120,1645,1.0
553,121,85,0.25
554,121,123,1.0
555,121,433,0.3333333333333333
556,121,889,0.5
557,121,1046,0.5
558,121,1647,1.0
559,121,1718,1.0
560,122,15,0.2
561,122,341,0.5
562,123,41,0.008
563,123,52,0.07692307692307693
564,123,124,1.0
565,123,920,0.3333333333333333
566,123,1393,1.0
567,123,1669,1.0
568,124,125,0.5
569,125,126,0.3333333333333333
570,125,420,1.0
571,125,654,0.3333333333333333
572,125,905,0.5
573,126,127,0.25
574,126,304,0.125
575,127,128,1.0
576,127,735,0.5
577,127,1242,1.0
578,127,1428,1.0
579,128,129,0.5
580,128,276,0.2
581,128,827,1.0
582,128,1065,0.3333333333333333
583,128,1234,0.5
584,129,41,0.008
585,129,130,0.5
586,129,324,0.25
587,129,661,1.0
588,129,1576,1.0
589,130,71,0.25
590,130,132,1.0
591,130,509,0.3333333333333333
592,130,693,1.0
593,130,879,0.5
594,130,1053,0.5
595,130,1090,1.0
596,130,1161,0.5
597,130,1348,1.0
598,130,1495,1.0
599,131,44,0.25
600,131,71,0.25
601,131,1004,1.0
602,131,1071,1.0
603,132,133,0.5
604,133,134,0.1111111111111111
