,housing_median_age_tVar,median_house_value_tVar,values
0,0,0,1.0
1,0,2,1.0
2,0,13,1.0
3,0,40,0.09090909090909091
4,0,41,0.032
5,0,43,0.5
6,0,81,0.5
7,0,101,0.25
8,0,105,1.0
9,0,121,0.2
10,0,125,0.5
11,0,150,0.2
12,0,195,0.2
13,0,202,0.25
14,0,223,1.0
15,0,248,0.6666666666666666
16,0,272,1.0
17,0,303,0.5
18,0,315,0.5
19,0,346,0.3333333333333333
20,0,393,0.5
21,0,439,0.5
22,0,446,0.25
23,0,490,0.3333333333333333
24,0,570,0.16666666666666666
25,0,581,1.0
26,0,594,0.07692307692307693
27,0,603,1.0
28,0,635,0.5
29,0,679,0.5
30,0,700,1.0
31,0,719,1.0
32,0,726,0.5
33,0,728,1.0
34,0,742,0.25
35,0,743,1.0
36,0,771,0.5
37,0,781,0.5
38,0,796,0.3333333333333333
39,0,886,0.25
40,0,921,0.3333333333333333
41,0,926,0.5
42,0,968,1.0
43,0,985,0.3333333333333333
44,0,998,0.2
45,0,999,1.0
46,0,1017,1.0
47,0,1020,1.0
48,0,1046,0.5
49,0,1067,0.5
50,0,1075,0.5
51,0,1132,1.0
52,0,1137,1.0
53,0,1168,1.0
54,0,1198,1.0
55,0,1199,1.0
56,0,1204,1.0
57,0,1207,1.0
58,0,1212,0.3333333333333333
59,0,1261,1.0
60,0,1316,0.3333333333333333
61,0,1320,1.0
62,0,1348,1.0
63,0,1407,1.0
64,0,1412,1.0
65,0,1662,1.0
66,0,1722,1.0
67,0,1747,1.0
68,0,1767,1.0
69,0,1783,1.0
70,1,1,1.0
71,1,5,0.3333333333333333
72,1,9,0.125
73,1,16,0.13043478260869565
74,1,41,0.016
75,1,52,0.07692307692307693
76,1,68,0.3333333333333333
77,1,80,0.2
78,1,95,0.5
79,1,101,0.25
80,1,118,0.5
81,1,127,0.25
82,1,148,1.0
83,1,179,0.25
84,1,195,0.2
85,1,295,0.3333333333333333
86,1,379,0.3333333333333333
87,1,423,0.16666666666666666
88,1,468,0.3333333333333333
89,1,479,0.5
90,1,515,0.3333333333333333
91,1,517,1.0
92,1,528,0.25
93,1,530,0.3333333333333333
94,1,555,1.0
95,1,559,0.5
96,1,567,0.5
97,1,586,1.0
98,1,613,1.0
99,1,661,1.0
100,1,667,1.0
101,1,670,1.0
102,1,682,1.0
103,1,717,0.5
104,1,758,1.0
105,1,790,1.0
106,1,895,1.0
107,1,915,0.09090909090909091
108,1,945,1.0
109,1,966,0.5
110,1,998,0.2
111,1,1174,1.0
112,1,1188,1.0
113,1,1389,1.0
114,1,1549,1.0
115,1,1564,0.5
116,1,1567,1.0
117,1,1576,1.0
118,1,1608,1.0
119,1,1661,1.0
120,1,1688,1.0
121,1,1698,1.0
122,1,1780,1.0
123,2,3,1.0
124,2,15,0.2
125,2,16,0.043478260869565216
126,2,41,0.008
127,2,52,0.07692307692307693
128,2,79,0.3333333333333333
129,2,81,0.5
130,2,112,0.5
131,2,122,0.3333333333333333
132,2,134,0.1111111111111111
133,2,153,0.3333333333333333
134,2,154,0.5
135,2,175,0.3333333333333333
136,2,209,1.0
137,2,254,0.5
138,2,280,0.5
139,2,326,0.5
140,2,347,0.5
141,2,348,0.5
142,2,356,0.5
143,2,390,1.0
144,2,415,1.0
145,2,494,1.0
146,2,513,0.25
147,2,521,0.5
148,2,551,0.2
149,2,571,1.0
150,2,605,1.0
151,2,623,1.0
152,2,626,0.3333333333333333
153,2,641,0.5
154,2,703,1.0
155,2,731,0.5
156,2,840,1.0
157,2,897,0.5
158,2,914,0.2
159,2,947,0.5
160,2,963,0.5
161,2,992,0.5
162,2,1087,1.0
163,2,1103,1.0
164,2,1126,1.0
165,2,1157,1.0
166,2,1231,1.0
167,2,1240,1.0
168,2,1251,1.0
169,2,1307,0.3333333333333333
170,2,1446,0.3333333333333333
171,2,1452,1.0
172,2,1473,0.5
173,2,1481,1.0
174,2,1504,0.5
175,2,1510,0.5
176,2,1541,1.0
177,2,1613,1.0
178,2,1642,1.0
179,2,1708,1.0
180,2,1745,1.0
181,3,4,1.0
182,3,6,1.0
183,3,9,0.125
184,3,16,0.13043478260869565
185,3,27,0.07142857142857142
186,3,41,0.008
187,3,48,0.16666666666666666
188,3,52,0.07692307692307693
189,3,56,0.3333333333333333
190,3,65,0.5
191,3,67,0.3333333333333333
192,3,90,0.14285714285714285
193,3,112,0.5
194,3,119,1.0
195,3,134,0.1111111111111111
196,3,212,0.07692307692307693
197,3,222,0.25
198,3,249,0.125
199,3,276,0.4
200,3,309,0.3333333333333333
201,3,314,0.3333333333333333
202,3,324,0.5
203,3,372,1.0
204,3,431,0.3333333333333333
205,3,436,0.5
206,3,437,1.0
207,3,460,0.5
208,3,501,0.2
209,3,525,0.5
210,3,552,0.5
211,3,558,0.25
212,3,561,0.5
213,3,570,0.16666666666666666
214,3,583,0.3333333333333333
215,3,607,1.0
216,3,619,0.5
217,3,664,1.0
218,3,672,1.0
219,3,688,0.5
220,3,704,0.3333333333333333
221,3,737,1.0
222,3,763,0.5
223,3,772,0.5
224,3,821,0.25
225,3,826,0.3333333333333333
226,3,837,0.3333333333333333
227,3,914,0.2
228,3,915,0.09090909090909091
229,3,963,0.5
230,3,995,1.0
231,3,1003,0.3333333333333333
232,3,1066,0.2
233,3,1096,0.5
234,3,1141,1.0
235,3,1155,0.5
236,3,1186,1.0
237,3,1269,0.5
238,3,1284,1.0
239,3,1369,1.0
240,3,1406,1.0
241,3,1436,0.5
242,3,1460,1.0
243,3,1490,1.0
244,3,1550,0.5
245,3,1587,1.0
246,3,1588,1.0
247,3,1592,1.0
248,3,1612,0.5
249,3,1616,0.5
250,3,1670,1.0
251,3,1700,1.0
252,3,1706,1.0
253,4,5,0.3333333333333333
254,4,10,0.5
255,4,17,0.5
256,4,25,0.14285714285714285
257,4,27,0.07142857142857142
258,4,41,0.056
259,4,54,0.5
260,4,80,0.2
261,4,108,0.25
262,4,111,0.5
263,4,134,0.2222222222222222
264,4,143,0.2
265,4,146,0.3333333333333333
266,4,161,0.25
267,4,174,0.2
268,4,180,0.3333333333333333
269,4,181,0.3333333333333333
270,4,193,0.058823529411764705
271,4,298,1.0
272,4,355,0.5
273,4,366,0.5
274,4,383,1.0
275,4,392,0.5
276,4,461,0.5
277,4,473,1.0
278,4,501,0.2
279,4,530,0.3333333333333333
280,4,541,1.0
281,4,604,0.5
282,4,622,1.0
283,4,624,1.0
284,4,674,0.5
285,4,678,1.0
286,4,698,1.0
287,4,724,1.0
288,4,744,1.0
289,4,746,0.25
290,4,752,1.0
291,4,755,1.0
292,4,765,0.5
293,4,798,0.3333333333333333
294,4,807,0.3333333333333333
295,4,821,0.25
296,4,837,0.3333333333333333
297,4,866,0.3333333333333333
298,4,903,1.0
299,4,914,0.2
300,4,922,0.5
301,4,928,1.0
302,4,935,0.25
303,4,962,1.0
304,4,969,0.3333333333333333
305,4,987,1.0
306,4,1006,0.5
307,4,1023,0.5
308,4,1045,1.0
309,4,1053,0.5
