,total_rooms_tVar,median_house_value_tVar,values
0,0,0,1.0
1,0,1681,1.0
2,1,1,1.0
3,1,262,0.3333333333333333
4,2,2,1.0
5,3,3,1.0
6,4,4,1.0
7,4,28,0.3333333333333333
8,5,5,0.3333333333333333
9,5,966,0.5
10,6,5,0.3333333333333333
11,6,735,0.5
12,7,6,1.0
13,8,7,0.3333333333333333
14,9,8,0.5
15,9,1584,1.0
16,10,9,0.125
17,10,610,1.0
18,11,10,0.5
19,11,93,0.125
20,12,11,0.5
21,12,77,0.3333333333333333
22,13,12,0.5
23,14,13,1.0
24,15,14,1.0
25,16,15,0.2
26,16,998,0.2
27,17,16,0.043478260869565216
28,17,202,0.25
29,18,17,0.5
30,18,98,0.5
31,19,18,0.5
32,20,19,0.5
33,21,20,1.0
34,21,450,1.0
35,22,21,1.0
36,22,1138,0.5
37,23,22,0.3333333333333333
38,24,23,0.5
39,25,24,1.0
40,25,141,0.5
41,25,364,0.25
42,25,521,0.5
43,26,25,0.14285714285714285
44,27,26,1.0
45,28,27,0.07142857142857142
46,29,28,0.3333333333333333
47,30,9,0.125
48,30,29,0.5
49,31,30,0.5
50,31,1249,1.0
51,32,31,1.0
52,32,953,1.0
53,33,32,0.5
54,34,33,0.5
55,35,34,1.0
56,35,1458,1.0
57,36,35,0.3333333333333333
58,36,909,0.5
59,36,1062,0.16666666666666666
60,36,1260,0.25
61,37,36,0.3333333333333333
62,38,37,1.0
63,39,38,1.0
64,40,39,0.3333333333333333
65,40,325,0.25
66,41,40,0.09090909090909091
67,42,41,0.008
68,43,42,1.0
69,43,577,0.5
70,44,43,0.5
71,44,1495,1.0
72,45,44,0.25
73,46,45,0.25
74,46,229,1.0
75,46,744,1.0
76,47,46,0.3333333333333333
77,47,1479,1.0
78,48,47,0.3333333333333333
79,48,821,0.25
80,48,1234,0.5
81,49,48,0.16666666666666666
82,50,49,1.0
83,51,50,0.3333333333333333
84,52,51,0.2
85,52,1288,1.0
86,53,52,0.07692307692307693
87,54,53,1.0
88,55,54,0.5
89,55,189,1.0
90,56,55,0.5
91,57,52,0.07692307692307693
92,57,56,0.3333333333333333
93,57,772,0.5
94,58,57,0.3333333333333333
95,59,58,0.5
96,60,59,1.0
97,61,60,0.5
98,61,1491,1.0
99,61,1515,1.0
100,62,61,1.0
101,62,797,0.3333333333333333
102,63,62,1.0
103,64,63,0.5
104,64,504,1.0
105,65,64,1.0
106,66,65,0.5
107,67,66,0.5
108,67,242,1.0
109,68,67,0.3333333333333333
110,69,68,0.3333333333333333
111,69,545,1.0
112,70,41,0.008
113,70,69,1.0
114,70,1271,1.0
115,71,9,0.125
116,72,45,0.25
117,72,182,1.0
118,72,1724,1.0
119,73,70,1.0
120,74,71,0.25
121,74,835,0.14285714285714285
122,74,1655,1.0
123,75,72,0.5
124,75,496,1.0
125,76,73,0.3333333333333333
126,76,503,1.0
127,77,74,1.0
128,78,75,1.0
129,79,76,0.5
130,80,16,0.043478260869565216
131,81,45,0.25
132,82,77,0.3333333333333333
133,82,587,0.5
134,83,19,0.5
135,84,78,0.3333333333333333
136,84,1012,0.5
137,85,79,0.3333333333333333
138,86,80,0.2
139,87,81,0.5
140,88,82,0.5
141,88,364,0.25
142,88,668,1.0
143,88,1470,1.0
144,89,83,0.5
145,89,886,0.25
146,89,1416,0.5
147,90,84,0.5
148,90,662,1.0
149,91,85,0.25
150,92,86,1.0
151,93,87,0.5
152,93,1700,1.0
153,94,88,0.5
154,94,1223,0.3333333333333333
155,95,89,0.5
156,95,1099,0.3333333333333333
157,95,1767,1.0
158,96,41,0.008
159,96,90,0.14285714285714285
160,96,625,1.0
161,97,91,0.5
162,98,92,0.25
163,99,93,0.125
164,100,94,1.0
165,101,95,0.5
166,102,96,0.2
167,102,1197,0.3333333333333333
168,102,1464,1.0
169,103,40,0.09090909090909091
170,103,205,0.25
171,103,875,1.0
172,104,41,0.008
173,104,97,1.0
174,104,858,1.0
175,105,99,0.5
176,105,1501,0.5
177,106,100,0.3333333333333333
178,106,572,1.0
179,107,101,0.25
180,108,102,1.0
181,108,1381,1.0
182,109,103,1.0
183,110,104,1.0
184,111,105,1.0
185,111,896,0.5
186,112,106,1.0
187,112,353,1.0
188,113,9,0.125
189,114,107,1.0
190,115,108,0.25
191,115,972,1.0
192,116,41,0.008
193,116,956,0.5
194,117,41,0.008
195,118,109,0.3333333333333333
196,119,110,1.0
197,119,933,1.0
198,120,111,0.5
199,120,433,0.3333333333333333
200,120,1736,1.0
201,121,112,0.5
202,122,113,1.0
203,122,1751,1.0
204,123,114,1.0
205,124,115,0.2
206,124,847,1.0
207,124,1281,1.0
208,125,116,1.0
209,126,117,1.0
210,127,41,0.008
211,128,118,0.5
212,129,52,0.07692307692307693
213,130,119,1.0
214,131,120,0.5
215,131,1037,0.5
216,132,121,0.2
217,132,193,0.058823529411764705
218,133,122,0.3333333333333333
219,134,41,0.008
220,134,737,1.0
221,134,833,1.0
222,135,46,0.3333333333333333
223,136,27,0.07142857142857142
224,136,123,1.0
225,137,15,0.2
226,138,124,1.0
227,138,1707,1.0
228,139,125,0.5
229,140,126,0.3333333333333333
230,140,1161,0.5
231,141,127,0.25
232,142,128,1.0
233,143,129,0.5
234,143,1533,1.0
235,144,130,0.5
236,145,131,1.0
237,146,132,1.0
238,146,946,1.0
239,147,71,0.25
240,147,674,0.5
241,148,133,0.5
242,149,134,0.1111111111111111
243,150,135,1.0
244,150,771,0.5
245,150,1095,1.0
246,150,1534,0.5
247,151,136,1.0
248,152,137,0.2
249,153,138,1.0
250,153,420,1.0
251,153,967,0.5
252,153,1539,1.0
253,154,30,0.5
254,155,139,0.08333333333333333
255,155,436,0.5
256,155,1194,0.5
257,156,140,0.5
258,156,812,0.5
259,156,1742,1.0
260,157,141,0.5
261,158,142,1.0
262,159,143,0.2
263,160,41,0.008
264,161,144,0.3333333333333333
265,162,145,0.3333333333333333
266,162,239,0.3333333333333333
267,162,387,1.0
268,163,52,0.07692307692307693
269,163,146,0.3333333333333333
270,164,147,0.3333333333333333
271,164,1148,1.0
272,164,1529,0.5
273,165,63,0.5
274,166,148,1.0
275,167,149,0.5
276,167,249,0.125
277,168,150,0.2
278,168,412,0.3333333333333333
279,169,151,0.3333333333333333
280,170,152,1.0
281,171,153,0.3333333333333333
282,172,154,0.5
283,173,155,1.0
284,174,156,0.5
285,174,1411,1.0
286,175,157,1.0
287,175,511,0.2
288,176,158,0.5
289,176,822,0.5
290,177,159,0.5
291,178,160,0.3333333333333333
292,178,275,1.0
293,178,729,1.0
294,178,981,0.5
295,179,161,0.25
296,180,118,0.5
297,180,162,0.5
298,181,163,1.0
299,182,164,0.5
300,182,329,1.0
301,183,165,1.0
302,183,688,0.5
303,184,41,0.008
304,185,166,1.0
305,186,167,0.3333333333333333
306,186,173,0.5
307,186,1630,1.0
308,187,168,0.5
309,188,25,0.14285714285714285
310,189,169,0.3333333333333333
311,189,895,1.0
312,190,170,0.3333333333333333
313,191,67,0.3333333333333333
314,191,1596,1.0
315,191,1651,0.5
316,192,93,0.125
317,193,171,0.5
318,193,869,1.0
319,194,172,1.0
320,194,904,0.5
321,194,1581,1.0
322,195,173,0.5
323,195,223,1.0
324,195,1675,1.0
325,196,174,0.2
326,196,618,1.0
327,197,175,0.3333333333333333
328,197,509,0.3333333333333333
329,198,176,1.0
330,198,1599,1.0
331,199,177,0.5
332,200,178,0.5
333,200,639,0.25
334,201,139,0.08333333333333333
335,202,44,0.25
336,203,179,0.25
337,204,180,0.3333333333333333
338,204,277,0.5
339,205,181,0.3333333333333333
340,206,183,1.0
341,206,979,0.5
342,207,184,1.0
343,208,185,0.5
344,209,186,1.0
345,210,187,0.3333333333333333
346,211,188,1.0
347,212,190,1.0
348,213,191,1.0
349,214,121,0.2
350,214,654,0.3333333333333333
351,215,192,1.0
352,215,1291,0.3333333333333333
353,216,41,0.008
354,217,193,0.058823529411764705
355,217,651,0.5
356,218,194,1.0
357,219,195,0.2
358,219,403,1.0
359,219,839,0.5
360,219,902,0.25
361,220,196,1.0
362,221,197,0.2
363,221,501,0.2
364,222,198,1.0
365,222,926,0.5
366,223,199,0.16666666666666666
367,223,935,0.25
368,223,1307,0.3333333333333333
369,224,200,0.5
370,225,201,0.5
371,226,203,0.5
372,227,204,0.5
373,227,636,0.5
374,228,205,0.25
375,228,513,0.25
376,228,624,1.0
377,229,206,1.0
378,230,5,0.3333333333333333
379,231,207,0.5
380,232,208,1.0
381,233,25,0.14285714285714285
382,234,209,1.0
383,235,210,0.5
384,236,139,0.08333333333333333
385,236,211,0.5
386,236,741,1.0
387,236,985,0.3333333333333333
388,236,1039,0.5
389,237,212,0.07692307692307693
390,237,604,0.5
391,238,150,0.2
392,238,213,0.5
393,239,214,0.5
394,239,381,1.0
395,239,920,0.3333333333333333
396,240,207,0.5
397,241,215,1.0
398,241,593,1.0
399,242,216,0.5
400,243,217,1.0
401,244,115,0.2
402,245,218,1.0
403,246,219,1.0
404,247,220,0.3333333333333333
405,248,221,0.5
406,249,222,0.25
407,250,224,0.3333333333333333
408,251,225,0.5
409,252,226,1.0
410,253,180,0.3333333333333333
411,253,227,1.0
412,253,925,0.3333333333333333
413,253,1211,0.3333333333333333
414,254,228,1.0
415,255,230,1.0
416,256,231,1.0
417,257,232,0.25
418,258,233,1.0
419,259,41,0.008
420,259,139,0.08333333333333333
421,259,234,1.0
422,259,1236,1.0
423,260,235,1.0
424,261,127,0.25
425,262,236,1.0
426,263,237,0.5
427,264,238,1.0
428,264,276,0.2
429,264,490,0.3333333333333333
430,265,121,0.2
431,266,130,0.5
432,266,240,0.5
433,267,241,1.0
434,267,611,1.0
435,267,713,0.5
436,268,243,0.5
437,269,244,0.5
438,270,245,1.0
439,271,246,1.0
440,271,1732,1.0
441,272,247,0.5
442,273,248,0.3333333333333333
443,274,41,0.008
444,274,1480,1.0
445,275,249,0.125
446,275,468,0.3333333333333333
447,276,210,0.5
448,276,250,0.3333333333333333
449,277,251,0.5
450,278,252,0.3333333333333333
451,279,253,0.5
452,279,962,1.0
453,280,212,0.07692307692307693
454,281,41,0.008
455,282,254,0.5
456,283,255,0.5
457,284,256,0.5
458,285,257,1.0
459,286,258,1.0
460,287,259,1.0
461,288,16,0.043478260869565216
462,289,260,0.5
463,289,1119,1.0
464,290,261,1.0
465,290,939,1.0
466,291,73,0.3333333333333333
467,291,1748,1.0
468,292,263,1.0
469,292,517,1.0
470,293,27,0.07142857142857142
