,puzzle_id,sudokupad_url,author,title,rules,initial_board,solution,rows,cols,visual_elements,encoded_puzzle
0,nhk2311h1,https://sudokupad.app/idmeojecon,Nikoli,Nikoli nhk2311h1,"""Normal 9x9 sudoku rules apply.""",..3..5....7.3...2.8...6.4...1...8..5..8.2.6..3..9...1...6.7...9.2...9.4....4..1..,243815967675394821891762453912648735758123694364957218436271589127589346589436172,9,9,[],sclN4SwJgXA5AdgFgawEwGYCMa5qgGgLYCmALgIZgmkTAkCuRcA9gE7QByICDANiLkzVwIBnNszwkuAAgCcAD2mShNMAwQ1J/QUMkkADrq4BPAHS4h3OiAYxoSACwoAHGgCs0gGwB2Ly5TS7jkhojtJo3va+oUjuAZ4oLp4uzqju/igx0glBjg7uSJ6uIWj5SdIodu6luWFIuERsHNwgkvDI6JjYAL44AMYiLgAMvQQQANqjODjAAG4QKN2TMxAuCzgAujgTS54LS/OTi7NI3RujS46rU7Puu7N2C6dXEGiX56tLK49PF4cQx783SanPbvWbSV6zF7rTYA24QHYHJ7gx5Lf4HJbg373aETLGg54PDZMEbjUZDAanIZoSk4JCnNA4CmbBnU5m005IRkcnCs0acumnMk4FA0uw0lz04WSsVsiWbTki+U4GV8nASwVDdw0zw0xySrVsnVsvVKg2qo2qvWClBczY23k2umbOy20Yu3kup2jFyun28n0CzajG2K4PK042uVuqXO8OxqM+0M+lU+9VBm1mm0Wm0m6Nml0Wl25n1mn0Wn1WoPuV3V3nVr2eV2N3mNr2OV3t3ntwPjauh6sq6tRxuhxsqxtR9uh9sq9tp3s4M3Vi3V3ONs2Ni2N3Pts3ti3tq1rTpAA
1,nhk2204m,https://sudokupad.app/3hdco6xtc3,Nikoli,Nikoli nhk2204m,"""Normal 9x9 sudoku rules apply.""",...1...2...3.4.8..9.1..7.3..6.5....8..5...3..2....4.7..5.2..6.1..7.5.4...8...9...,876135924523946817941827536769513248415782369238694175354278691697351482182469753,9,9,[],sclN4SwJgXA5AdgFgawExIAwBYC2UA0mCmALgIZjEkTDECuhcA9gE7QByIC9ANiLo9Z/gDOrJpmKcABAE4AHlImDqYegmoS+AwROIAHHZwCeAOlyCutEPRjQAHAHYAbAEYAzAFYpSdG6Qup6BxsnO38nGyQ7NxcHRyk3Vy8bdCc3O3DozxcbB1DI93QI7KknHLt3J3RwsK9SqNxCVnYuEAl4ZDQsKABfHABjYTdUPvwIAG1RnEngADcIJx7JnBmIJB6AXRwJpdmXBeX0PdmbBY3R5alDuYXtiDtL3ZxTm4dLt2upo66nm7fFm4fHptlqs/jcDh9butNj9LiCIS8IfNvss7hDfmCTtDlsc/udrmsNowRuNRkNUKchk4KTgkKcnDhyZt6VSmTTTkgGeycCzRhzaadSTgXNT0NS3HShRLRazxZsOcK5ThpbycOKBUMHNS7NSbBLNaztazdYr9SrDSrdQKXJzNtaedbaZt0DbRs6ec7HaM3C7vTzvfzNqNrQqg0rTtbZa7JU6wzHI96Q97ld61YHrabrebrcao6bnebnTnvabvebvZbAw4XVWeVXPXYXQ2eQ3PTYXW2eW2A+MqyGq8qq5GGyGG8qG5G2yG28q26mezhTVXzVWcw3TQ3zQ2c23TW3zW3LWsukA==
2,nhk2205m,https://sudokupad.app/uftgziyalc,Nikoli,Nikoli nhk2205m,"""Normal 9x9 sudoku rules apply.""",.9.1...2.2.7.4...8.....5.6...8.....3.6.....5.9.....8...2.6.....4...8.7.1.5...9.4.,695138427217946538384725169548261973163897254972453816729614385436582791851379642,9,9,[],sclN4SwJgXA5AdgFgawExIAwFYC2UA0mCmALgIZjEkTDECuhcA9gE7QByIC9ANiLo9Z/gDOrJpmKcABAE4AHlImDqYegmoS+AwROIAHHZwCeAOlyCutEPRjQAbFPQBGAMwAOACxIA7Egeepbm3RXVzdvRzt0NxckGwcpTycHG1d4pEjUtyCXJO8pWLdXSKdA6L8HF0cnPxsPXEJWdi4QCXhkNCwoAF8cAGNhdFRe/AgAbRGcYAA3CCluiemHOZx5iCRugF0cEanVuZ3PPem3JZWXTs3x5eWd9EOIGw2t6+mzq6udp3OnnYe354hbjgLjtZn9TnMLis1v9fm9gUcTjtXisDv9FpCbojpqCVscgZtGMMxiNBqgLoMHOScEgLg4cGStnTKYzqRckPS2ThmSN2TSLiScE4qW4qehaYLxSKWWKtuyhbKcFKeTgxfzBjYqZ4qS5xRqWVqWTqFXrlQblTr+U4OVsrdyrTStm5rSMndynQ6RuhnV7uV6+VsRlb5YHFRcrTKXRLHaHoxGvcGvUqvaqA1aTVazVajZGTU6zU7s16TV6zV6LQGbM7K9zKx7PM769z6x6XM7W9zW/6xpXg5WlZWI/Xg/WlfWI63g62la2U92cCbK2bK9n6yb62b69nWybW2bWxb1p0gA===
3,nhk2208h1,https://sudokupad.app/yoeyqap6em,Nikoli,Nikoli nhk2208h1,"""Normal 9x9 sudoku rules apply.""",..3.5..7..1.8..3..9....7.6...2..6..4....4....1..2..5...9.1....8..7..8.3..8..9.7..,643952871715864392928317465532786914879541623164239587396175248457628139281493756,9,9,[],sclN4SwJgXA5AdgFgawExIAwA44EYoBoC2ApgC4CGYpZEwpArsXAPYBO0AciAowDYh7O1uhAM7sW+UtwAEATgAeMqcNphGCWlIFDhU0gAc93AJ4A6PMJ70QjGNABsAFgDMMgKxJ0AdizfX6Ry5IMh5OPg52rq5OSJ7+MlgOXm4OWHZIoY7pbl4udj7uiQ6unmnoWIFlDjJOnq52eMTsnDwgUvDIaJg4AL64AMairqj9hBAA2mO4uMAAbhBOvdNzrotLEJ69ALq4k7MQWIt76Kt7C1PbY3syq1N7G7dzdls7DxBIJ48fEA7dF1OvP3+uAuewO/z273By0WfyuhzmYKBR1+LzW91ex1eZ1hc0xr2ur3Rm22zFGEzGw1QF2GWGpuCQFywuCpOyZtNZ9IuSGZXNw7LG3IZFwpuCcdIcdNcjNF0olHKlO25YsVuDlAtwUuFwzsdM8dPQ0p1HL1HINKqN6pN6oNwqcPJ2dv5doZOwc9rGbv5bpdY1c7r9/L9Qp2YztytDqoudoVHplrsj8ZjfvDfrVfs1IbtFrtVrtZtjFrdVrd+b9Fr9Vr9NpDdndtf5tZ9nndzf5zZ96Hdnf5neDE1r4dratrMeb4ebaubMc74c7as7Gf7uAttattfzzYtzatzfznYtnatnZtm26QA=
4,nhk1907h1,https://sudokupad.app/108dbajxub,Nikoli,Nikoli nhk1907h1,"""Normal 9x9 sudoku rules apply.""",.3..4..6...4..5...9.....2...4.1....3..5.8.7..2....6.8...9.....6...7..5...1..2..9.,832947165674215938951863247748192653165384729293576481329451876486739512517628394,9,9,[],sclN4SwJgXA5AdgFgawIwE4AMB2OSoBoC2ApgC4CGYpZEwpArsXAPYBO0AciAowDYh7O1uhAM7sW+UtwAEKAB4opw2mEYJaUgUOFTSAB13cAngDo8wnvRCMY0ABwBmAEwoALBiQA2AKweMLx0heKPa2KF5Ith5Obn62qI7e9p5eIW7OzvZeGB4ucU6u4bbZub72YUiO4dmODq54xOycPCBS8MjoWDgAvrgAxqJeaH2EEADao7jAAG4Q9j24kzMu84sQHj0AurgTq8sLq14rW6PTECgr+6eO88e786dIF6tztwf3M7bvEBg321dPp3WC1On1wr1O532lxm61eqx+0IghwWtweK3+iMhGy2zBG41GQzQxyGSGJuEcxyQuCJ2yppNp5OOjmpTNw9NGzIpxwJuHsZJcZK8lN5woFDKF22ZfMluDFHNwQu5Qw8ZIwZNswpVDLVDI1Mq18p18o13PsLO2ZvZZop2xc5tGdvZdptoy89rd7LdXO2ozN0t9suOZolDpFtsD4ZDbv9brlbsVPrNBrNRrNetDBrtRrt6bdBrdRrdJp9HntpfZpZdGHt1fZ1ZdtntjfZje941L/tLctLIer/urcurIcb/sbcsbCfbuANpaNpfT1YN1aN1fTjYNjaNjZNGy6QA=
5,nhk2107m,https://sudokupad.app/ijbrhgnxl0,Nikoli,Nikoli nhk2107m,"""Normal 9x9 sudoku rules apply.""",6..5...4...1..9....5..8.7.1..7....3.5..2.4..6.2....9..3.9.7..8....4..2...1...8..3,678521349231749568954386721487965132593214876126837954349172685865493217712658493,9,9,[],sclN4SwJgXA5AdgFgawEwEYAMB2AtlANFgUwBcBDME0iYEgVyLgHsAnaAORAQYBsQ8mauBAM5tmWElwAEATgAe0yUJpgGCGpP6ChkkgAddXAJ4A6PEO50QDGNABsGABwBWVAGYALNKSuUGT09sHaSd3Vwd7VHcHDGlbJxRXJCdpRJQojFsUJEDXGJCPaV9s53CQlNQMDCy4h09XPCI2Dm4QSXhkdGwoAF9cAGMRJzR+gggAbTHgADcIW17cXGmIJ3mFpfdegF1cMbWZlFWl6VXt3aWVhcWZh3mljFv97tO9iHvLl9ctnfPDmaQHiAbS5LObPJb/d5XCDHBanJafF4wqFvF43XDPF5Al4Q9E7KEHd5LNEfJ7bJijCZjYZoU7DFC03BIU4oXA0nYs+nsxmnJCsnm4TljXlM05U3CuBnuBlOZni2VSrkyna8iXK3AKoW4GWi4a2BkYBkOWV6rkGrlGtUmzVmzVG0WuPk7B2Ch1MnbuR1jD2Cj1usZOT0BwUBkU7MYO1Xh9WnB1Kr1y93RxNxgORgMagPasMOq0Om0Oi3xq0em0ewsBq0Bm0Bu1h2ye+uC+t+jCe1uC1t+hye7uC7uhib1yP1jX1uOtyOtjWtuPdyPdjXdrOD3BW+s2+uF1tW1s21uF7tW7s27t2zbdIA==
6,nhk1907h2,https://sudokupad.app/gzev8gbhpp,Nikoli,Nikoli nhk1907h2,"""Normal 9x9 sudoku rules apply.""",...2..6....4..6.8..5..8...33..1.2.5...9...7...2.9.4..17...2..4..9.3..1....8..5...,871243695934516287652789413386172954149658732527934861763821549495367128218495376,9,9,[],sclN4SwJgXA5AdgFgawIwE4AMB2OAmKAaAWwFMAXAQzDPImDIFcS4B7AJ2gDkQEmAbEfFnR5EAzh1YEyPAAQoAHimki6YJgjrTBwkdLIAHPTwCeAOnwjeDEExjQAHBiTYALAGYAbCgCsKV869I7tgO7l7YGHYozkiurnbuSBjY3tHOKKEOrthhGL7O8YnucdhIXmlpXh6OwSV2Fa4Y7vgkHFy8INLwyOhYuAC+eADGYl5oQ0QQANqTeLPAAG4Q2ANzi+4rALp4M3gLEM4ru2sre3YDWzN7Xoenh0cQrn0Xe4+z90gni8urENd4Fz8UHc9hhNtt7t97kCfgc3nsPs9FqC3hCbotYQC9tD7q8fh9ZgD7mc4Ys/gStiwJtNJmM0Bcxkh6XhsBckHg6ds2YzOcyLth2Xy8NzJvyWRcaXhXEznEyvKzJfKZTy5dt+VLVXglSK8HLxWN3EyMEy7PKDTyjTyTRqzdqLdqTeLXALtk7hU6WdtnM7Jl7hV6PZMvN6g8Kg2LtpMnerI5qLk6VT6FZ7Y8mE0Ho0GtUHdRGnTanXanVbEzavXavcWgzag3agw6I+5vY3hY2Axhve3he2A3Zvb3hb3w9NG9HG1rGwn29H21r2wne9He1reznh3gbY27Y3i+2be27e3i72bb27b2HRs+kA===
7,nhk2311m,https://sudokupad.app/wjvtqqx2gv,Nikoli,Nikoli nhk2311m,"""Normal 9x9 sudoku rules apply.""",5..9....4..1.2.....3...78..7......5...94.32...2......1..41...3.....5.7..3....6..9,587931624641528397932647815716892453859413276423765981264179538198354762375286149,9,9,[],sclN4SwJgXA5AdgFgawEwGYCMaC2UA0mCmALgIZjEkTDECuhcA9gE7QByIC9ANiLo9Z/gDOrJpmKcABAE4AHlImDqYegmoS+AwROIAHHZwCeAOlyCutEPRjQArAA4A7FPQA2JABYX7tDaR2UUk4oSF4Odj4OaC52Uh42KHY2Ut7BDl6oaUnhId5O8eFS/jbuaRm+di5o7lK4hKzsXCAS8MjoWFAAvjgAxsI2AAw9+BAA2iPAAG4QNl04OJMQUrNz81PuHQC6OCNzC2izC0jLOFs7CyjHCw5dC3azp1fHKwszJ9u7U0urEOsfEBffI5zU6Ap5/fYg76/PaXKYAyF/V7fa7A7bnJ4LFzLBZLDZbRjDMYjQb9U6DNBknBIU5oHCk7a0ikMqmnJB01k4JkjNnU07EnAoSnuSk2GkCsXC5mi7ZswUynCS7k4UV8wYuSkOSl2MXq5ma5na+W6pX6pXavkodnbS1cy3U7buK0jR1cx32kY2J2erme3nbEaWuUBhWnS3S53ih0hqPhz1Bz2Kz0q/2W42W02Ww0R42O02OrOe42e02e83+lxOitcivuhxOutcuvuuxOltclt+sYVoMVxUV8N1oN1xV18MtoMtxUt5NdnDGiumitZuvGuumutZlvGlumlvmjYdIA=
8,nhk2209h2,https://sudokupad.app/wbq3eu0b30,Nikoli,Nikoli nhk2209h2,"""Normal 9x9 sudoku rules apply.""",.4......5..7..6.3.8....4.6..2.1..8..4...3...9..1..9.5..9.2....1.8.4..9..5......7.,246381795157926438839754162925167843478532619361849257694273581783415926512698374,9,9,[],sclN4SwJgXA5AdgFgawExIAwE45KgGgLYCmALgIZgmkTAkCuRcA9gE7QByICDANiLkzVwIBnNszwkuAAnQAPdJKE0wDBDUn9BQySQAOOrgE8AdLiHc6IBjGhIALADYAzAA4AjAHZ0AVldfPSe1sXZ0d0dy9bV3skdCQfe3dnINtEr0cA13RHe1ck2L97dFskd0cvN0THSK9Y+x8A9BD3W1wiNg5uEEl4ZDRMbABfHABjES9UEYIIAG1pnGAANwhbIZw19cWILwGAXRw5+aX3VcOIe1XNxyG96c3nE7XNlcel85wb06QLpdcTu9Wbk8HpdgUt0Lt9i8IL8NmDvltrpDNuCoV91lDfh9/lDnlCUe99pttujYRBju89kwprNphNUDcJq4GTgkDdXDh6ft2UyuSybkgOfycDzpgLWTdaThHMzbMyvGypQrZbz5fsBdK1ThlaKcPKJRN7Mz3MznArDbzjbzTZrzTrLTrTRLHIL9s6Rc7WftbC7pt6Rd7PdMvD7gyLg+L9tNnRqo1qbs7Vb7FV64ynE8GY8HtcG9ZHnbbnfbndak7bvfbvSXg7bg/bg47I/YfU2RU3A+4fR2RR3A84fX2RX2I7MmzGm9qm4mOzGO9qO4m+zG+9q+7mRzhbU37U2Sx3bR37R2S33bX37X3HTsBkA==
9,nhk2303h1,https://sudokupad.app/crppwymv1y,Nikoli,Nikoli nhk2303h1,"""Normal 9x9 sudoku rules apply.""",7...1.6...4.5...9...8..9..358....1..9...5...8..1....456..4..3...7...3.2...2.9...7,793218654146537892258649713587924136964351278321786945615472389479863521832195467,9,9,[],sclN4SwJgXA5AdgFgawEwGYAMK4EYoBoC2ApgC4CGYpZEwpArsXAPYBO0AciAowDYh7O1uhAM7sW+UtwAEATgAeMqcNphGCWlIFDhU0gAc93AJ4A6PMJ70QjGNADsMlEiwAOAGwBWACxYvnlHYuMkhIHu5eMnZYKGEOSD4objJuXjFYSIFOWIFJXh5uWN52qEFeDu4xzi5ZMt5udnjE7Jw8IFLwyOiYOAC+uADGoh5oA4QQANrjwABuEHZ9uIszEFgLy24LALq447jLXmuzHgtLszJ927t7sy4ny+eL1xAoPZfLx0+3j6crWzv3JyeH0ey1ulx+q2+TwOQNe/1mGxBsxhPxei3By3m32WaKeSAuOx++J+DyRc1e22YY0m4xGaEuIywDNwSEuWFw9J27KZXJZlyQHP5uB54wFrMutNwKGZXmZHjZUoVst58p2AulatwytFuHlEpGbmZdmZLgVht5xt5ps15p1lp1polKEFO2dIudrJ2Xhd429Iu9nvGHh9wZFwfFO3Gzo1Ua1l2dqt9iq9cZTieDMeD2uDesjzttzvtzutSdt3vt3pLwdtwftwcdkbcPqbIqbgbsPo7Io7gZcPr7Ir7EcmTZjTe1TcTHZjHe1HcTfZjfe1fdzI9wtqb9qbJY7to79o7Jb7tr79r7js2PSAA=
