,latitude_tVar,median_house_value_tVar,values
0,0,0,1.0
1,0,41,0.024
2,0,118,0.5
3,0,225,0.5
4,0,451,1.0
5,0,917,1.0
6,0,1130,1.0
7,0,1291,0.3333333333333333
8,1,1,1.0
9,1,56,0.3333333333333333
10,1,90,0.14285714285714285
11,1,265,0.5
12,1,324,0.25
13,1,340,0.047619047619047616
14,1,613,1.0
15,1,718,1.0
16,1,765,0.5
17,1,857,0.5
18,1,899,1.0
19,1,1053,0.5
20,1,1161,0.5
21,1,1220,0.5
22,1,1311,1.0
23,2,2,1.0
24,2,16,0.043478260869565216
25,2,48,0.16666666666666666
26,2,255,0.5
27,2,330,0.3333333333333333
28,2,336,1.0
29,2,446,0.25
30,2,558,0.25
31,2,963,0.5
32,2,1323,1.0
33,2,1434,0.5
34,3,3,1.0
35,3,41,0.016
36,3,76,0.5
37,3,134,0.1111111111111111
38,3,179,0.25
39,3,276,0.2
40,3,469,0.5
41,3,593,1.0
42,3,633,0.5
43,3,639,0.25
44,3,732,0.5
45,3,1105,0.5
46,3,1286,1.0
47,3,1299,1.0
48,3,1346,1.0
49,3,1511,0.5
50,3,1698,1.0
51,4,4,1.0
52,4,29,0.5
53,4,213,0.5
54,4,576,1.0
55,4,1474,0.5
56,5,5,0.3333333333333333
57,5,1232,1.0
58,6,5,0.3333333333333333
59,6,1145,1.0
60,6,1507,1.0
61,7,6,1.0
62,7,1076,1.0
63,8,7,0.3333333333333333
64,8,462,0.3333333333333333
65,8,619,0.5
66,9,8,0.5
67,9,41,0.008
68,9,43,0.5
69,9,48,0.16666666666666666
70,9,67,0.3333333333333333
71,9,79,0.3333333333333333
72,9,81,0.5
73,9,93,0.125
74,9,165,1.0
75,9,205,0.25
76,9,240,0.5
77,9,243,0.5
78,9,289,1.0
79,9,362,0.5
80,9,371,0.5
81,9,455,1.0
82,9,592,0.5
83,9,678,1.0
84,9,701,1.0
85,9,934,1.0
86,9,1099,0.3333333333333333
87,9,1471,0.3333333333333333
88,9,1479,1.0
89,9,1533,1.0
90,9,1732,1.0
