,longitude_tVar,median_house_value_tVar,values
0,0,0,1.0
1,0,19,0.5
2,0,70,1.0
3,0,251,0.5
4,0,533,0.5
5,0,1526,1.0
6,0,1686,1.0
7,1,1,1.0
8,1,16,0.043478260869565216
9,1,30,0.5
10,1,94,1.0
11,1,125,0.5
12,1,186,1.0
13,1,293,1.0
14,1,308,1.0
15,1,314,0.3333333333333333
16,1,340,0.047619047619047616
17,1,364,0.25
18,1,382,1.0
19,1,442,1.0
20,1,637,1.0
21,1,765,0.5
22,1,778,0.3333333333333333
23,1,842,1.0
24,1,925,0.3333333333333333
25,1,1065,0.3333333333333333
26,1,1326,0.5
27,1,1343,1.0
28,1,1522,0.5
29,1,1641,1.0
30,1,1723,1.0
31,2,2,1.0
32,2,41,0.008
33,2,114,1.0
34,2,785,1.0
35,2,879,0.5
36,2,919,1.0
37,3,3,1.0
38,3,17,0.5
39,3,40,0.09090909090909091
40,3,41,0.024
41,3,51,0.2
42,3,88,0.5
43,3,270,1.0
44,3,316,0.25
45,3,399,1.0
46,3,552,0.5
47,3,676,0.5
48,3,704,0.3333333333333333
49,3,985,0.3333333333333333
50,3,1286,1.0
51,3,1524,1.0
52,3,1553,1.0
53,3,1561,1.0
54,3,1732,1.0
55,4,4,1.0
56,4,41,0.008
57,4,955,1.0
58,4,1003,0.3333333333333333
59,5,5,0.3333333333333333
60,5,1172,1.0
61,5,1232,1.0
62,6,5,0.3333333333333333
63,6,155,1.0
64,6,1727,1.0
65,7,6,1.0
66,8,7,0.3333333333333333
67,8,249,0.125
68,9,8,0.5
69,9,15,0.2
70,9,36,0.3333333333333333
71,9,48,0.16666666666666666
72,9,81,0.5
73,9,147,0.3333333333333333
74,9,158,0.5
75,9,276,0.2
76,9,384,0.5
77,9,633,0.5
78,9,650,0.5
79,9,677,1.0
80,9,746,0.25
81,9,766,1.0
82,9,867,0.5
83,9,879,0.5
84,9,972,1.0
85,9,1017,1.0
86,9,1189,1.0
87,9,1366,1.0
88,9,1769,1.0
89,10,9,0.125
90,10,90,0.14285714285714285
91,10,180,0.3333333333333333
92,10,283,0.3333333333333333
93,10,346,0.3333333333333333
94,10,423,0.16666666666666666
95,10,465,0.5
96,10,594,0.07692307692307693
97,10,651,0.5
98,10,660,0.5
99,10,744,1.0
100,10,799,0.3333333333333333
101,10,802,1.0
102,10,914,0.2
103,10,1026,1.0
104,10,1277,1.0
105,11,10,0.5
106,11,1185,0.3333333333333333
107,12,11,0.5
108,12,25,0.14285714285714285
109,12,27,0.07142857142857142
110,12,57,0.3333333333333333
111,12,490,0.3333333333333333
112,12,605,1.0
113,12,640,0.25
114,12,727,0.5
115,12,946,1.0
116,12,1077,0.3333333333333333
117,12,1314,1.0
118,12,1494,1.0
119,13,12,0.5
120,13,205,0.25
121,13,357,1.0
122,13,970,0.3333333333333333
123,13,1254,1.0
124,13,1550,0.5
125,14,13,1.0
126,14,41,0.008
127,14,68,0.3333333333333333
128,14,254,0.5
129,14,340,0.047619047619047616
130,14,546,0.5
131,14,593,1.0
132,14,668,1.0
133,14,722,0.5
134,14,874,1.0
135,14,960,1.0
136,14,984,1.0
137,14,1467,0.5
138,14,1514,1.0
139,14,1574,1.0
140,14,1587,1.0
141,14,1658,1.0
142,15,14,1.0
143,15,27,0.07142857142857142
144,15,48,0.16666666666666666
145,15,54,0.5
146,15,162,0.5
147,15,215,1.0
148,15,240,0.5
149,15,340,0.047619047619047616
150,15,362,0.25
151,15,432,0.3333333333333333
152,15,1053,0.5
153,15,1096,0.5
154,15,1168,1.0
155,15,1191,1.0
156,15,1344,1.0
157,15,1710,1.0
158,16,15,0.2
159,17,16,0.043478260869565216
160,17,22,0.3333333333333333
161,17,1428,1.0
162,17,1647,1.0
163,18,17,0.5
164,19,18,0.5
165,19,249,0.125
166,19,1044,1.0
167,19,1751,1.0
168,20,19,0.5
169,20,41,0.008
170,20,355,0.5
171,20,826,0.3333333333333333
172,20,909,0.5
173,21,20,1.0
174,21,487,0.3333333333333333
175,21,704,0.3333333333333333
176,21,771,0.5
177,21,810,1.0
178,21,1545,1.0
179,21,1582,1.0
180,22,21,1.0
181,22,41,0.008
182,22,52,0.07692307692307693
183,22,271,0.25
184,22,304,0.125
185,22,525,0.5
186,22,535,0.09090909090909091
187,22,544,1.0
188,22,688,0.5
189,22,863,0.3333333333333333
190,22,1212,0.3333333333333333
191,22,1419,1.0
192,22,1464,1.0
193,23,22,0.3333333333333333
194,23,130,0.5
195,23,398,0.3333333333333333
196,23,425,1.0
197,23,467,1.0
198,23,915,0.09090909090909091
199,23,1066,0.2
200,23,1430,1.0
201,23,1488,1.0
202,24,23,0.5
203,24,220,0.3333333333333333
204,24,899,1.0
205,24,971,0.5
206,24,974,0.3333333333333333
207,24,1033,1.0
208,24,1221,1.0
209,25,24,1.0
210,25,202,0.25
211,25,336,1.0
212,25,643,0.5
213,25,669,0.5
214,25,770,0.5
215,25,886,0.25
216,25,1097,1.0
217,25,1397,0.5
218,25,1745,1.0
219,26,25,0.14285714285714285
220,26,41,0.008
221,26,52,0.07692307692307693
222,26,87,0.5
223,26,120,0.5
224,26,321,0.5
225,26,356,0.5
226,26,567,0.5
227,26,697,1.0
228,26,833,1.0
229,26,884,0.3333333333333333
230,26,891,1.0
231,26,941,0.5
232,26,991,0.25
233,26,1018,1.0
234,26,1208,0.5
235,26,1485,1.0
236,26,1656,1.0
237,27,26,1.0
238,27,41,0.048
239,27,274,0.5
240,27,295,0.3333333333333333
241,27,331,0.3333333333333333
242,27,649,1.0
243,27,731,0.5
244,27,953,1.0
245,27,1469,1.0
246,28,15,0.2
247,28,27,0.07142857142857142
248,28,41,0.016
249,28,86,1.0
250,28,120,0.5
251,28,439,0.5
252,28,746,0.25
253,28,828,0.25
254,28,1178,1.0
255,28,1401,1.0
256,28,1610,0.5
257,29,28,0.3333333333333333
258,29,431,0.3333333333333333
259,29,847,1.0
260,29,1022,0.5
261,29,1744,1.0
262,30,29,0.5
263,30,287,1.0
264,30,827,1.0
265,31,31,1.0
266,31,45,0.25
267,31,1062,0.16666666666666666
268,32,32,0.5
269,32,44,0.25
270,32,205,0.25
271,32,254,0.5
272,32,289,1.0
273,32,330,0.3333333333333333
274,32,485,0.5
275,32,583,0.3333333333333333
276,32,589,1.0
277,32,594,0.07692307692307693
278,32,655,0.5
279,32,1024,0.5
280,32,1261,1.0
281,32,1346,1.0
282,32,1765,1.0
283,32,1766,1.0
284,33,15,0.2
285,33,33,0.5
286,33,134,0.1111111111111111
287,33,199,0.16666666666666666
288,33,271,0.25
289,33,461,0.5
290,33,521,0.5
291,33,718,1.0
292,33,903,1.0
293,33,934,1.0
294,33,1049,0.5
295,33,1143,1.0
296,33,1230,1.0
297,33,1252,1.0
298,33,1609,0.5
299,33,1659,0.5
300,34,34,1.0
301,34,56,0.3333333333333333
302,34,239,0.3333333333333333
303,34,332,1.0
304,34,532,1.0
305,34,776,0.3333333333333333
306,34,994,1.0
307,34,1029,1.0
308,34,1050,0.5
309,34,1170,1.0
310,34,1250,0.5
311,34,1522,0.5
312,34,1646,1.0
313,35,35,0.3333333333333333
314,35,93,0.25
315,35,381,1.0
316,35,427,0.5
317,35,640,0.25
318,35,781,0.5
319,35,1066,0.2
320,36,37,1.0
321,36,41,0.008
322,36,106,1.0
323,36,143,0.2
324,36,211,0.5
325,36,378,1.0
326,36,389,0.3333333333333333
327,36,446,0.25
328,36,1323,1.0
329,36,1462,1.0
330,36,1631,1.0
331,37,38,1.0
332,37,50,0.3333333333333333
333,37,286,0.3333333333333333
334,37,1297,1.0
335,37,1687,1.0
336,38,39,0.3333333333333333
337,38,221,0.5
338,38,1066,0.2
339,39,40,0.09090909090909091
340,39,172,1.0
341,39,317,0.3333333333333333
342,39,559,0.5
343,39,735,0.5
344,40,41,0.008
345,40,45,0.25
346,40,455,1.0
347,40,535,0.09090909090909091
348,40,648,0.5
349,40,767,0.5
350,40,886,0.25
351,40,1091,1.0
352,40,1299,1.0
353,40,1309,1.0
354,41,42,1.0
355,41,127,0.25
356,41,446,0.25
357,41,480,0.5
358,41,583,0.3333333333333333
359,41,591,0.3333333333333333
360,41,869,1.0
361,41,1081,1.0
362,41,1136,1.0
363,41,1234,0.5
364,41,1294,0.5
365,41,1528,1.0
366,42,43,0.5
367,42,139,0.08333333333333333
368,42,153,0.3333333333333333
369,42,263,1.0
370,42,276,0.2
371,42,535,0.09090909090909091
372,42,546,0.5
373,42,594,0.07692307692307693
374,42,797,0.3333333333333333
375,42,915,0.09090909090909091
376,42,1364,1.0
377,42,1608,1.0
378,42,1696,1.0
379,42,1767,1.0
380,42,1770,1.0
381,43,44,0.25
382,43,52,0.07692307692307693
383,43,349,1.0
384,43,437,1.0
385,43,695,1.0
386,43,930,1.0
387,43,931,1.0
388,43,1213,1.0
389,43,1292,1.0
390,43,1317,1.0
391,43,1720,1.0
392,44,45,0.25
393,44,198,1.0
394,44,276,0.2
395,44,326,0.5
396,44,552,0.5
397,44,1101,0.5
398,44,1210,0.5
399,44,1682,1.0
400,45,27,0.07142857142857142
401,45,46,0.3333333333333333
402,45,48,0.16666666666666666
403,45,123,1.0
404,45,137,0.2
405,45,139,0.08333333333333333
406,45,219,1.0
407,45,304,0.125
408,45,322,0.3333333333333333
409,45,354,1.0
410,45,364,0.25
411,45,470,1.0
412,45,526,0.3333333333333333
413,45,558,0.25
414,45,796,0.3333333333333333
415,45,878,0.5
416,45,1099,0.3333333333333333
417,45,1185,0.3333333333333333
418,45,1247,1.0
419,45,1295,1.0
420,45,1412,1.0
421,45,1459,1.0
422,45,1636,1.0
423,45,1672,1.0
424,45,1768,1.0
425,46,46,0.3333333333333333
426,46,47,0.3333333333333333
427,46,199,0.16666666666666666
428,46,588,0.25
429,46,603,1.0
430,46,619,0.5
431,46,653,1.0
432,46,720,1.0
433,46,773,0.5
434,46,1107,0.5
